id;artist;title;album;uri;released_year;external_url;explicit
1;payment responsive;Tactics;interactive asymmetric Croatia;Curve Borders;e-services Bedfordshire;Plastic bypassing;false
2;orange generate;Valley River;client-server;green;invoice;Engineer platforms;true
3;olive Nebraska;indexing Mountains Tuna;Car;Beauty Communications;Belize Martinique;Turkey syndicate Awesome;true
4;Chair Awesome;azure;Peru;Interactions Digitized;Clothing;Marketing;true
5;Data Utah Composite;Games hard;PNG;interface niches enhance;Fantastic American French;didactic Ball synergies;false
6;Adaptive exploit;Organic;structure ADP;cross-platform;FTP composite;SMS Loan Ways;false
7;Throughway Paradigm;indexing Health input;Concrete bypassing hierarchy;French Arabia;Functionality;firewall;false
8;solutions Customer;expedite benchmark;Chips;Tennessee Balanced;collaborative Frozen;Branding Accounts Fresh;false
9;Vermont;Kids;Soft;maximize invoice;connecting;Advanced Frozen Account;true
10;Berkshire;Fresh Soft group;Tasty indexing;Supervisor calculating;maximize Central Ball;Concrete generate;true
